publisher_name,subscription_url,language
The Guardian,https://www.theguardian.com/subscribe,en
Financial Times,https://www.ft.com/products,en
The New York Times,https://www.nytimes.com/subscription,en
The Washington Post,https://www.washingtonpost.com/subscribe,en
The Wall Street Journal,https://www.wsj.com/membership,en
The Economist,https://www.economist.com/subscription,en
The Atlantic,https://www.theatlantic.com/subscribe/,en
The New Yorker,https://www.newyorker.com/subscribe,en
Wired,https://www.wired.com/subscribe,en
National Geographic,https://www.nationalgeographic.com/subscribe,en